code,name,market,industry,close_price,change_rate,market_cap
005930,삼성전자,KOSPI,통신 및 방송 장비 제조업,268500,-2.19,1569725806248000
000660,SK하이닉스,KOSPI,반도체 제조업,1662000,1.03,1214078310630000
005935,삼성전자우,KOSPI,기타,188300,-3.73,151086497524900
402340,SK스퀘어,KOSPI,기타 금융업,1135000,-1.65,149772768110000
009150,삼성전기,KOSPI,전자부품 제조업,1440000,-7.57,107558922240000
005380,현대차,KOSPI,자동차용 엔진 및 자동차 제조업,435000,-3.97,89069628210000
373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,351000,-5.01,82134000000000
207940,삼성바이오로직스,KOSPI,기초 의약물질 제조업,1531000,-1.1,70871445981000
032830,삼성생명,KOSPI,보험업,310500,3.16,62100000000000
028260,삼성물산,KOSPI,기타 전문 도매업,369000,0.0,59839837389000
105560,KB금융,KOSPI,기타 금융업,168500,0.0,59764883179000
012450,한화에어로스페이스,KOSPI,"항공기,우주선 및 부품 제조업",1146000,-1.21,59091657546000
000270,기아,KOSPI,자동차용 엔진 및 자동차 제조업,137200,-3.18,53564663325600
329180,HD현대중공업,KOSPI,선박 및 보트 건조업,489500,-4.02,51378519637500
055550,신한지주,KOSPI,기타 금융업,106500,-0.84,49996450453500
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,77900,-5.69,49899713273400
012330,현대모비스,KOSPI,자동차 신품 부품 제조업,518000,-5.3,46999477994000
068270,셀트리온,KOSPI,기초 의약물질 제조업,195500,-2.74,45476657908000
034730,SK,KOSPI,기타 금융업,590000,0.85,42776594770000
006400,삼성SDI,KOSPI,일차전지 및 이차전지 제조업,488000,-5.43,39325738640000
086790,하나금융지주,KOSPI,기타 금융업,130700,-1.73,35859864663600
035420,NAVER,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",217000,-4.82,34064135945000
066570,LG전자,KOSPI,통신 및 방송 장비 제조업,208000,-3.26,33880004704000
010120,LS ELECTRIC,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",209000,1.21,31350000000000
267260,HD현대일렉트릭,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",785000,-2.24,28297000975000
000810,삼성화재,KOSPI,보험업,626000,1.79,27949318098000
042660,한화오션,KOSPI,선박 및 보트 건조업,90900,-5.11,27852977514600
298040,효성중공업,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2984000,1.02,27824451232000
009540,HD한국조선해양,KOSPI,기타 금융업,374500,-2.98,26504531942000
005490,POSCO홀딩스,KOSPI,1차 철강 제조업,324500,-2.84,25713875511500
010130,고려아연,KOSPI,1차 비철금속 제조업,1219000,1.92,25444149211000
316140,우리금융지주,KOSPI,기타 금융업,33750,0.15,24573026767500
096770,SK이노베이션,KOSPI,석유 정제품 제조업,131500,2.18,22230441622000
042700,한미반도체,KOSPI,특수 목적용 기계 제조업,229000,0.0,21826493800000
017670,SK텔레콤,KOSPI,전기 통신업,99800,-0.7,21436047289400
011200,HMM,KOSPI,해상 운송업,22650,6.59,21364340020500
015760,한국전력,KOSPI,전기업,32600,-1.95,20928028910200
006800,미래에셋증권,KOSPI,금융 지원 서비스업,36350,-3.45,20340256088000
000150,두산,KOSPI,전자부품 제조업,1250000,-2.04,20242293750000
138040,메리츠금융지주,KOSPI,기타 금융업,117200,0.43,19613100395600
051910,LG화학,KOSPI,기초 화학물질 제조업,270500,-3.57,19095228781500
010140,삼성중공업,KOSPI,선박 및 보트 건조업,21250,-4.71,18700000000000
267250,HD현대,KOSPI,기타 금융업,234500,-0.42,18523878432500
033780,KT&G,KOSPI,담배 제조업,176600,0.34,18332926529600
018260,삼성에스디에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",228500,-6.16,17680827300000
079550,LIG디펜스앤에어로스페이스,KOSPI,무기 및 총포탄 제조업,795000,-2.45,17490000000000
010950,S-Oil,KOSPI,석유 정제품 제조업,153600,4.07,17292716851200
003550,LG,KOSPI,기타 금융업,112700,-6.08,17039338850800
035720,카카오,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",38250,-4.38,16944025927500
024110,기업은행,KOSPI,은행 및 저축기관,20450,0.25,16307359021050
196170,알테오젠,KOSDAQ GLOBAL,자연과학 및 공학 연구개발업,298000,-5.1,15968730214000
064350,현대로템,KOSPI,그외 기타 운송장비 제조업,143200,-2.52,15629176357600
086280,현대글로비스,KOSPI,기타 운송관련 서비스업,206500,-2.13,15487500000000
272210,한화시스템,KOSPI,전자부품 제조업,79900,-0.5,15094659181100
011070,LG이노텍,KOSPI,전자부품 제조업,633000,-3.21,14981278731000
278470,에이피알,KOSPI,기타 화학제품 제조업,396500,1.54,14844228457500
003670,포스코퓨처엠,KOSPI,일차전지 및 이차전지 제조업,160400,-5.92,14266973688000
030200,KT,KOSPI,전기 통신업,54300,1.69,13684777495500
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업",140000,-4.37,13646514980000
307950,현대오토에버,KOSPI,소프트웨어 개발 및 공급업,451000,-7.87,12368215882000
000720,현대건설,KOSPI,토목 건설업,110100,-4.92,12260269726500
005830,DB손해보험,KOSPI,보험업,182000,2.94,11921063518000
086520,에코프로,KOSDAQ GLOBAL,기타 금융업,87100,-6.94,11826102839200
078930,GS,KOSPI,기타 금융업,119300,1.97,11082432553500
006260,LS,KOSPI,기타 금융업,343500,6.18,10717200000000
071050,한국금융지주,KOSPI,기타 금융업,191600,-6.08,10677100067200
247540,에코프로비엠,KOSDAQ GLOBAL,일차전지 및 이차전지 제조업,109100,-6.51,10673300349400
323410,카카오뱅크,KOSPI,은행 및 저축기관,21950,-1.13,10472793592150
259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,226500,-4.83,10450219174500
005940,NH투자증권,KOSPI,금융 지원 서비스업,27500,-4.35,10153167887500
003230,삼양식품,KOSPI,기타 식품 제조업,1334000,5.04,10049042010000
0126Z0,삼성에피스홀딩스,KOSPI,기타 금융업,384500,-11.3,9567532340500
028050,삼성E&A,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",47900,-3.82,9388400000000
003490,대한항공,KOSPI,항공 여객 운송업,25250,-3.99,9297571690250
443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",204000,3.66,9146025840000
277810,레인보우로보틱스,KOSDAQ,특수 목적용 기계 제조업,470000,-6.19,9117933260000
047050,포스코인터내셔널,KOSPI,상품 중개업,51400,-3.56,9042431303200
161390,한국타이어앤테크놀로지,KOSPI,고무제품 제조업,69100,-3.49,8559767267900
036930,주성엔지니어링,KOSDAQ GLOBAL,특수 목적용 기계 제조업,179300,0.84,8334064995300
180640,한진칼,KOSPI,기타 금융업,118900,-0.92,7938034973100
016360,삼성증권,KOSPI,금융 지원 서비스업,88800,-4.52,7929840000000
090430,아모레퍼시픽,KOSPI,기타 화학제품 제조업,132200,-2.58,7732742739800
009830,한화솔루션,KOSPI,기초 화학물질 제조업,34000,-3.95,7646346224000
007660,이수페타시스,KOSPI,전자부품 제조업,102900,7.64,7553808635100
039490,키움증권,KOSPI,금융 지원 서비스업,283500,-5.66,7435727586000
352820,하이브,KOSPI,오디오물 출판 및 원판 녹음업,171800,-4.24,7405754424800
005387,현대차2우B,KOSPI,기타,207000,-2.82,7237533510000
064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",73900,-7.51,7159871557200
047040,대우건설,KOSPI,건물 건설업,17170,-4.66,7055284144460
021240,코웨이,KOSPI,그외 기타 개인 서비스업,96500,-1.73,6829056609000
326030,SK바이오팜,KOSPI,자연과학 및 공학 연구개발업,85200,-2.41,6672288900000
267270,HD건설기계,KOSPI,특수 목적용 기계 제조업,133500,-3.68,6397573249500
000100,유한양행,KOSPI,의약품 제조업,79600,-4.9,6339949039600
032640,LG유플러스,KOSPI,전기 통신업,14930,-0.86,6336706038760
241560,두산밥캣,KOSPI,특수 목적용 기계 제조업,64300,-2.72,6163544979500
